Feature,SHAP_Impacto_Medio_Absoluto
bun,2.9708
vasopresina,0.7703
ast,0.1526
Crioprecipitados,0.0876
creatinina,0.0381
Oncologicas,0.0
Hematologica,0.0
Cardiovaculares,0.0
comorbilidades,0.0
Neurologicas,0.0
Respiratorias,0.0
Sangrados,0.0
Ascitis,0.0
Derrame_pleural,0.0
Diagnostico,0.0
Otras,0.0
hb,0.0
hto,0.0
Dolor_abdominal_persistente,0.0
alt,0.0
TP,0.0
TPT,0.0
Ns1,0.0
IgG-_dengue,0.0
IgM-_dengue,0.0
plaquetas,0.0
Vomito,0.0
Viral,0.0
bacteriana,0.0
Ecografia_abdominal,0.0
Colestasis,0.0
Hepatomegalia,0.0
Liquido_libre_o_ascitis,0.0
Colecistitis_alitiasica,0.0
Rx_de_torax,0.0
Derrame_pleural.1,0.0
Atelectasia,0.0
Neumotorax,0.0
Cardiomegalia,0.0
Otros,0.0
Liquidos_para_dengue,0.0
IgM_ELISA,0.0
Coinfeccion,0.0
hemoderiavdos,0.0
Albumina_al_5%,0.0
Plaquetas.1,0.0
Globulos_rojos,0.0
Sangre_fresca_total,0.0
Inotropicos,0.0
Adrenalina,0.0
Plasma,0.0
Noradrenalina,0.0
Milrinone,0.0
Hidrocortisona,0.0
pim3,0.0
hb_missing,0.0
hto_missing,0.0
plaquetas_missing,0.0
bun_missing,0.0
creatinina_missing,0.0
alt_missing,0.0
ast_missing,0.0
pim3_missing,0.0
edad_grupo_11-14,0.0
edad_grupo_15-18,0.0
edad_grupo_6-10,0.0
edad_grupo__1_año,0.0
sexo_Masculino,0.0
lugar_procedencia_Urbana,0.0
shock_no_,0.0
shock_si,0.0
shock_si_,0.0
plaquetas_bajas,0.0
riesgo_alto_pim3,0.0
elevacion_transaminasas,0.0
